"party","taxes"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the rich"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Raise taxes on the poor"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Democrat","Not sure"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the rich"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Raise taxes on the poor"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Republican","Not sure"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the rich"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Raise taxes on the poor"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
"Indep / Other","Not sure"
