answer	party_affiliation
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Democrat
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should	Independent
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Republican
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Democrat
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
should_not	Independent
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Republican
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Democrat
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
do_not_know_or_no_answer	Independent
