position	college_grad
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	yes
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
oppose	no
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	yes
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
do_not_know	no
